participant_id,fsm_type,task,test_order,trial_type,max_beta
34,easy,explanation,ECP,hidden_an,1.0000000000000018
34,easy,prediction,ECP,visible,0.29000000000000115
34,easy,prediction,ECP,hidden,0.22500000000000098
34,easy,prediction,ECP,hidden_an,0.27000000000000113
40,easy,control,CEP,visible,1.0000000000000018
40,easy,control,CEP,hidden,-0.049999999999999156
40,easy,control,CEP,hidden_an,-1.0
40,easy,explanation,CEP,visible,0.3600000000000012
40,easy,explanation,CEP,hidden,0.140000000000001
40,easy,explanation,CEP,hidden_an,0.2300000000000011
40,easy,prediction,CEP,visible,1.0000000000000018
40,easy,prediction,CEP,hidden,-0.10999999999999921
40,easy,prediction,CEP,hidden_an,-1.0
39,easy,control,EPC,visible,0.07500000000000107
39,easy,control,EPC,hidden,-0.14999999999999925
39,easy,control,EPC,hidden_an,0.005000000000000782
39,easy,explanation,EPC,visible,0.40000000000000124
39,easy,explanation,EPC,hidden,0.140000000000001
39,easy,explanation,EPC,hidden_an,0.28500000000000103
39,easy,prediction,EPC,visible,1.0000000000000018
39,easy,prediction,EPC,hidden,0.40000000000000124
39,easy,prediction,EPC,hidden_an,0.6500000000000015
41,easy,control,PCE,visible,-0.28499999999999936
41,easy,control,PCE,hidden,0.08500000000000085
41,easy,control,PCE,hidden_an,0.0250000000000008
41,easy,explanation,PCE,visible,-0.07999999999999918
41,easy,explanation,PCE,hidden,0.17500000000000115
41,easy,explanation,PCE,hidden_an,0.3550000000000013
41,easy,prediction,PCE,visible,1.0000000000000018
41,easy,prediction,PCE,hidden,0.40000000000000124
41,easy,prediction,PCE,hidden_an,1.0000000000000018
42,easy,control,ECP,visible,0.4700000000000013
42,easy,control,ECP,hidden,0.6700000000000015
42,easy,control,ECP,hidden_an,1.0000000000000018
42,easy,explanation,ECP,visible,0.19500000000000117
42,easy,explanation,ECP,hidden,0.3300000000000012
42,easy,explanation,ECP,hidden_an,0.28500000000000103
42,easy,prediction,ECP,visible,0.3550000000000013
42,easy,prediction,ECP,hidden,0.09000000000000097
42,easy,prediction,ECP,hidden_an,-0.12999999999999923
43,easy,control,ECP,visible,0.04500000000000082
43,easy,control,ECP,hidden,-1.0
43,easy,control,ECP,hidden_an,-1.0
43,easy,explanation,ECP,visible,-0.13499999999999923
43,easy,explanation,ECP,hidden,1.0000000000000018
43,easy,explanation,ECP,hidden_an,1.0000000000000018
43,easy,prediction,ECP,visible,0.11000000000000099
43,easy,prediction,ECP,hidden,-0.3399999999999994
43,easy,prediction,ECP,hidden_an,1.0000000000000018
44,easy,control,PEC,visible,1.0000000000000018
44,easy,control,PEC,hidden,-0.004999999999999116
44,easy,control,PEC,hidden_an,0.28500000000000103
44,easy,explanation,PEC,visible,0.140000000000001
44,easy,explanation,PEC,hidden,-0.12999999999999923
44,easy,explanation,PEC,hidden_an,0.10500000000000087
44,easy,prediction,PEC,visible,1.0000000000000018
44,easy,prediction,PEC,hidden,-0.2249999999999993
44,easy,prediction,PEC,hidden_an,-0.01999999999999913
46,easy,control,PCE,visible,-0.1049999999999992
46,easy,control,PCE,hidden,0.3550000000000013
46,easy,control,PCE,hidden_an,0.130000000000001
46,easy,explanation,PCE,visible,0.05000000000000093
46,easy,explanation,PCE,hidden,-0.12999999999999923
46,easy,explanation,PCE,hidden_an,-0.28999999999999937
46,easy,prediction,PCE,visible,0.1150000000000011
46,easy,prediction,PCE,hidden,1.0000000000000018
46,easy,prediction,PCE,hidden_an,1.0000000000000018
47,easy,control,PCE,visible,0.41000000000000125
47,easy,control,PCE,hidden,1.0000000000000018
47,easy,control,PCE,hidden_an,1.0000000000000018
47,easy,explanation,PCE,visible,-0.27499999999999936
47,easy,explanation,PCE,hidden,-0.11499999999999921
47,easy,explanation,PCE,hidden_an,-0.01999999999999913
47,easy,prediction,PCE,visible,1.0000000000000018
47,easy,prediction,PCE,hidden,1.0000000000000018
47,easy,prediction,PCE,hidden_an,1.0000000000000018
45,easy,control,CPE,visible,0.3550000000000013
45,easy,control,CPE,hidden,0.22000000000000108
45,easy,control,CPE,hidden_an,-0.05499999999999916
45,easy,explanation,CPE,visible,0.3600000000000012
45,easy,explanation,CPE,hidden,-0.1049999999999992
45,easy,explanation,CPE,hidden_an,-0.03499999999999914
45,easy,prediction,CPE,visible,0.29000000000000115
45,easy,prediction,CPE,hidden,-1.0
45,easy,prediction,CPE,hidden_an,-1.0
48,easy,control,CEP,visible,1.0000000000000018
48,easy,control,CEP,hidden,0.09000000000000097
48,easy,control,CEP,hidden_an,0.17000000000000104
48,easy,explanation,CEP,visible,-0.3549999999999994
48,easy,explanation,CEP,hidden,-0.07999999999999918
48,easy,explanation,CEP,hidden_an,-0.12999999999999923
48,easy,prediction,CEP,visible,0.41000000000000125
48,easy,prediction,CEP,hidden,0.16500000000000092
48,easy,prediction,CEP,hidden_an,0.245000000000001
49,easy,control,ECP,visible,0.05000000000000093
49,easy,control,ECP,hidden,0.3350000000000013
49,easy,control,ECP,hidden_an,0.17500000000000115
49,easy,explanation,ECP,visible,0.06500000000000083
49,easy,explanation,ECP,hidden,0.3500000000000012
49,easy,explanation,ECP,hidden_an,0.22500000000000098
49,easy,prediction,ECP,visible,0.28500000000000103
49,easy,prediction,ECP,hidden,0.42500000000000115
49,easy,prediction,ECP,hidden_an,1.0000000000000018
50,easy,control,ECP,visible,1.0000000000000018
50,easy,control,ECP,hidden,0.120000000000001
50,easy,control,ECP,hidden_an,0.22000000000000108
50,easy,explanation,ECP,visible,-0.0999999999999992
50,easy,explanation,ECP,hidden,0.11000000000000099
50,easy,explanation,ECP,hidden_an,0.130000000000001
50,easy,prediction,ECP,visible,0.28500000000000103
50,easy,prediction,ECP,hidden,-0.17999999999999927
50,easy,prediction,ECP,hidden_an,-0.2149999999999993
51,easy,control,EPC,visible,1.0000000000000018
51,easy,control,EPC,hidden,-0.15499999999999925
51,easy,control,EPC,hidden_an,-0.1999999999999993
51,easy,explanation,EPC,visible,0.20000000000000107
51,easy,explanation,EPC,hidden,0.4850000000000012
51,easy,explanation,EPC,hidden_an,1.0000000000000018
51,easy,prediction,EPC,visible,1.0000000000000018
51,easy,prediction,EPC,hidden,0.13500000000000112
51,easy,prediction,EPC,hidden_an,1.0000000000000018
52,easy,control,CPE,visible,0.28500000000000103
52,easy,control,CPE,hidden,0.10500000000000087
52,easy,control,CPE,hidden_an,0.05000000000000093
52,easy,explanation,CPE,visible,0.10500000000000087
52,easy,explanation,CPE,hidden,-0.0949999999999992
52,easy,explanation,CPE,hidden_an,0.020000000000000906
52,easy,prediction,CPE,visible,1.0000000000000018
52,easy,prediction,CPE,hidden,0.42000000000000126
52,easy,prediction,CPE,hidden_an,1.0000000000000018
53,easy,control,CEP,visible,-0.3149999999999994
53,easy,control,CEP,hidden,-1.0
53,easy,control,CEP,hidden_an,-1.0
53,easy,explanation,CEP,visible,-0.2949999999999994
53,easy,explanation,CEP,hidden,-0.4649999999999995
53,easy,explanation,CEP,hidden_an,-1.0
53,easy,prediction,CEP,visible,-1.0
53,easy,prediction,CEP,hidden,-0.3349999999999994
53,easy,prediction,CEP,hidden_an,-1.0
54,easy,control,ECP,visible,0.10000000000000098
54,easy,control,ECP,hidden,-0.4549999999999995
54,easy,control,ECP,hidden_an,-1.0
54,easy,explanation,ECP,visible,0.020000000000000906
54,easy,explanation,ECP,hidden,0.8550000000000018
54,easy,explanation,ECP,hidden_an,1.0000000000000018
54,easy,prediction,ECP,visible,1.0000000000000018
54,easy,prediction,ECP,hidden,0.8700000000000017
54,easy,prediction,ECP,hidden_an,-1.0
55,easy,control,PCE,visible,0.06500000000000083
55,easy,control,PCE,hidden,1.0000000000000018
55,easy,control,PCE,hidden_an,1.0000000000000018
55,easy,explanation,PCE,visible,-0.06999999999999917
55,easy,explanation,PCE,hidden,-0.06999999999999917
55,easy,explanation,PCE,hidden_an,0.020000000000000906
55,easy,prediction,PCE,visible,1.0000000000000018
55,easy,prediction,PCE,hidden,-0.03999999999999915
55,easy,prediction,PCE,hidden_an,-0.5399999999999996
58,easy,control,ECP,visible,1.0000000000000018
58,easy,control,ECP,hidden,0.3800000000000012
58,easy,control,ECP,hidden_an,1.0000000000000018
58,easy,explanation,ECP,visible,-1.0
58,easy,explanation,ECP,hidden,0.07000000000000095
58,easy,explanation,ECP,hidden_an,0.130000000000001
58,easy,prediction,ECP,visible,0.07000000000000095
58,easy,prediction,ECP,hidden,0.30500000000000105
58,easy,prediction,ECP,hidden_an,0.7200000000000015
56,easy,control,PCE,visible,1.0000000000000018
56,easy,control,PCE,hidden,-0.37499999999999944
56,easy,control,PCE,hidden_an,-0.12999999999999923
56,easy,explanation,PCE,visible,0.120000000000001
56,easy,explanation,PCE,hidden,0.120000000000001
56,easy,explanation,PCE,hidden_an,0.07500000000000107
56,easy,prediction,PCE,visible,0.39500000000000135
56,easy,prediction,PCE,hidden,0.28500000000000103
56,easy,prediction,PCE,hidden_an,0.5350000000000015
57,easy,control,ECP,visible,1.0000000000000018
57,easy,control,ECP,hidden,0.010000000000000897
57,easy,control,ECP,hidden_an,-1.0
57,easy,explanation,ECP,visible,0.3400000000000012
57,easy,explanation,ECP,hidden,0.1450000000000009
57,easy,explanation,ECP,hidden_an,0.2150000000000012
57,easy,prediction,ECP,visible,1.0000000000000018
57,easy,prediction,ECP,hidden,0.39000000000000123
57,easy,prediction,ECP,hidden_an,0.22500000000000098
67,easy,control,CPE,visible,1.0000000000000018
67,easy,control,CPE,hidden,0.31000000000000116
67,easy,control,CPE,hidden_an,0.27500000000000124
67,easy,explanation,CPE,visible,0.140000000000001
67,easy,explanation,CPE,hidden,0.16500000000000092
67,easy,explanation,CPE,hidden_an,0.3400000000000012
67,easy,prediction,CPE,visible,1.0000000000000018
67,easy,prediction,CPE,hidden,-0.38499999999999945
67,easy,prediction,CPE,hidden_an,-1.0
59,easy,control,CEP,visible,0.4500000000000013
59,easy,control,CEP,hidden,1.0000000000000018
59,easy,control,CEP,hidden_an,1.0000000000000018
59,easy,explanation,CEP,visible,1.0000000000000018
59,easy,explanation,CEP,hidden,1.0000000000000018
59,easy,explanation,CEP,hidden_an,0.5100000000000013
59,easy,prediction,CEP,visible,1.0000000000000018
59,easy,prediction,CEP,hidden,-0.01999999999999913
59,easy,prediction,CEP,hidden_an,0.42500000000000115
60,easy,control,CEP,visible,-0.36499999999999944
60,easy,control,CEP,hidden,1.0000000000000018
60,easy,control,CEP,hidden_an,1.0000000000000018
60,easy,explanation,CEP,visible,0.3600000000000012
60,easy,explanation,CEP,hidden,0.13500000000000112
60,easy,explanation,CEP,hidden_an,0.29000000000000115
60,easy,prediction,CEP,visible,0.39500000000000135
60,easy,prediction,CEP,hidden,1.0000000000000018
60,easy,prediction,CEP,hidden_an,0.9850000000000017
62,easy,control,EPC,visible,0.28000000000000114
62,easy,control,EPC,hidden,-0.4149999999999995
62,easy,control,EPC,hidden_an,-1.0
62,easy,explanation,EPC,visible,0.11000000000000099
62,easy,explanation,EPC,hidden,1.0000000000000018
62,easy,explanation,EPC,hidden_an,1.0000000000000018
62,easy,prediction,EPC,visible,0.06500000000000083
62,easy,prediction,EPC,hidden,0.17000000000000104
62,easy,prediction,EPC,hidden_an,1.0000000000000018
61,easy,control,CEP,visible,0.11000000000000099
61,easy,control,CEP,hidden,-0.049999999999999156
61,easy,control,CEP,hidden_an,0.11000000000000099
61,easy,explanation,CEP,visible,-0.07999999999999918
61,easy,explanation,CEP,hidden,-0.11499999999999921
61,easy,explanation,CEP,hidden_an,-0.03499999999999914
61,easy,prediction,CEP,visible,0.28500000000000103
61,easy,prediction,CEP,hidden,-0.39999999999999947
61,easy,prediction,CEP,hidden_an,-0.7149999999999997
63,easy,control,ECP,visible,0.08500000000000085
63,easy,control,ECP,hidden,0.17500000000000115
63,easy,control,ECP,hidden_an,0.42500000000000115
63,easy,explanation,ECP,visible,0.30500000000000105
63,easy,explanation,ECP,hidden,0.42500000000000115
63,easy,explanation,ECP,hidden_an,1.0000000000000018
63,easy,prediction,ECP,visible,0.2300000000000011
63,easy,prediction,ECP,hidden,8.881784197001252e-16
63,easy,prediction,ECP,hidden_an,8.881784197001252e-16
64,easy,control,CPE,visible,0.18000000000000105
64,easy,control,CPE,hidden,0.27000000000000113
64,easy,control,CPE,hidden_an,0.1150000000000011
64,easy,explanation,CPE,visible,0.3600000000000012
64,easy,explanation,CPE,hidden,-0.12499999999999922
64,easy,explanation,CPE,hidden_an,-0.2249999999999993
64,easy,prediction,CPE,visible,1.0000000000000018
