participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan,learning_condition
20,prediction,hidden_an,0.973403006423134,21.0,easy,,6.0,Experiment 1 (no preview)
20,prediction,hidden_normative_subset,0.6726070170677604,21.0,easy,,,Experiment 1 (no preview)
20,prediction,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
21,prediction,visible,0.5299640517645717,22.0,hard,0.5,0.0,Experiment 1 (no preview)
21,prediction,hidden,0.7957596977159082,22.0,hard,0.7,0.0,Experiment 1 (no preview)
21,prediction,hidden_an,0.6984652160025387,22.0,hard,0.7142857142857143,3.0,Experiment 1 (no preview)
21,prediction,hidden_normative_subset,0.8205384805926732,22.0,hard,,,Experiment 1 (no preview)
21,prediction,hidden_an_subset,0.6364525402815663,22.0,hard,,,Experiment 1 (no preview)
22,control,visible,0.7539887164489482,21.0,easy,0.8,0.0,Experiment 1 (no preview)
22,control,hidden,0.6547534606063191,21.0,easy,0.7,0.0,Experiment 1 (no preview)
22,control,hidden_an,0.6984652160025387,21.0,easy,0.6,0.0,Experiment 1 (no preview)
22,control,hidden_normative_subset,0.8205384805926732,21.0,easy,,,Experiment 1 (no preview)
22,control,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
23,explanation,visible,0.5299640517645717,21.0,easy,0.5,0.0,Experiment 1 (no preview)
23,explanation,hidden,0.6364525402815663,21.0,easy,0.6,0.0,Experiment 1 (no preview)
23,explanation,hidden_an,0.7068222210935675,21.0,easy,0.6,0.0,Experiment 1 (no preview)
23,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
23,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
24,control,visible,0.5199893401555817,21.0,easy,0.5,0.0,Experiment 1 (no preview)
24,control,hidden,0.8084546514385326,21.0,easy,0.8,0.0,Experiment 1 (no preview)
24,control,hidden_an,0.6364525402815663,21.0,easy,0.7,0.0,Experiment 1 (no preview)
24,control,hidden_normative_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
24,control,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
25,explanation,visible,0.5,21.0,easy,0.3,0.0,Experiment 1 (no preview)
25,explanation,hidden,0.5099986668799654,21.0,easy,0.5,0.0,Experiment 1 (no preview)
25,explanation,hidden_an,0.5099986668799654,21.0,easy,0.5,0.0,Experiment 1 (no preview)
25,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
25,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
26,prediction,visible,0.6364525402815663,22.0,hard,0.6,0.0,Experiment 1 (no preview)
26,prediction,hidden,0.7464939833376623,22.0,hard,0.7,0.0,Experiment 1 (no preview)
26,prediction,hidden_an,0.7613327148429104,22.0,hard,0.7,0.0,Experiment 1 (no preview)
26,prediction,hidden_normative_subset,0.7068222210935675,22.0,hard,,,Experiment 1 (no preview)
26,prediction,hidden_an_subset,0.7464939833376623,22.0,hard,,,Experiment 1 (no preview)
27,prediction,visible,0.7891817065222528,21.0,easy,0.8,0.0,Experiment 1 (no preview)
27,prediction,hidden,0.5597136492671929,21.0,easy,0.5,0.0,Experiment 1 (no preview)
27,prediction,hidden_an,0.5,21.0,easy,0.42857142857142855,3.0,Experiment 1 (no preview)
27,prediction,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
27,prediction,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
28,prediction,visible,0.8581489350995122,21.0,easy,0.8,0.0,Experiment 1 (no preview)
28,prediction,hidden,0.5099986668799654,21.0,easy,0.4444444444444444,1.0,Experiment 1 (no preview)
28,prediction,hidden_an,0.5,21.0,easy,,6.0,Experiment 1 (no preview)
28,prediction,hidden_normative_subset,0.7464939833376623,21.0,easy,,,Experiment 1 (no preview)
28,prediction,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
29,prediction,visible,0.7613327148429104,21.0,easy,0.8,0.0,Experiment 1 (no preview)
29,prediction,hidden,0.7150421057009898,21.0,easy,0.7,0.0,Experiment 1 (no preview)
29,prediction,hidden_an,0.7231218051243898,21.0,easy,0.7142857142857143,3.0,Experiment 1 (no preview)
29,prediction,hidden_normative_subset,0.8629487074245403,21.0,easy,,,Experiment 1 (no preview)
29,prediction,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
30,explanation,visible,0.6813537337890255,22.0,hard,0.6,0.0,Experiment 1 (no preview)
30,explanation,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
30,explanation,hidden_an,0.5,22.0,hard,0.25,2.0,Experiment 1 (no preview)
30,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
30,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
31,explanation,visible,0.5,21.0,easy,0.6,0.0,Experiment 1 (no preview)
31,explanation,hidden,0.6456563062257954,21.0,easy,0.6,0.0,Experiment 1 (no preview)
31,explanation,hidden_an,0.5099986668799654,21.0,easy,0.5,0.0,Experiment 1 (no preview)
31,explanation,hidden_normative_subset,0.5199893401555817,21.0,easy,,,Experiment 1 (no preview)
31,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
32,explanation,visible,0.731058578630005,21.0,easy,0.7,0.0,Experiment 1 (no preview)
32,explanation,hidden,0.8481288363433408,21.0,easy,0.8,0.0,Experiment 1 (no preview)
32,explanation,hidden_an,0.8429045311145472,21.0,easy,0.8,0.0,Experiment 1 (no preview)
32,explanation,hidden_normative_subset,0.7231218051243898,21.0,easy,,,Experiment 1 (no preview)
32,explanation,hidden_an_subset,0.7150421057009898,21.0,easy,,,Experiment 1 (no preview)
33,explanation,visible,0.598687660112452,21.0,easy,0.6,0.0,Experiment 1 (no preview)
33,explanation,hidden,0.7539887164489482,21.0,easy,0.7,0.0,Experiment 1 (no preview)
33,explanation,hidden_an,0.7755640142690734,21.0,easy,0.7,0.0,Experiment 1 (no preview)
33,explanation,hidden_normative_subset,0.9037844582893072,21.0,easy,,,Experiment 1 (no preview)
33,explanation,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
34,control,visible,0.6547534606063191,22.0,hard,0.6,0.0,Experiment 1 (no preview)
34,control,hidden,0.7539887164489482,22.0,hard,0.7,0.0,Experiment 1 (no preview)
34,control,hidden_an,0.6813537337890255,22.0,hard,0.625,2.0,Experiment 1 (no preview)
34,control,hidden_normative_subset,0.6456563062257954,22.0,hard,,,Experiment 1 (no preview)
34,control,hidden_an_subset,0.5399148845555657,22.0,hard,,,Experiment 1 (no preview)
35,control,visible,0.738850006084249,22.0,hard,0.6,0.0,Experiment 1 (no preview)
35,control,hidden,0.6726070170677604,22.0,hard,0.5,0.0,Experiment 1 (no preview)
35,control,hidden_an,0.8205384805926732,22.0,hard,0.625,2.0,Experiment 1 (no preview)
35,control,hidden_normative_subset,0.5890404340586651,22.0,hard,,,Experiment 1 (no preview)
35,control,hidden_an_subset,0.738850006084249,22.0,hard,,,Experiment 1 (no preview)
36,control,visible,0.8375349374193038,22.0,hard,0.7,0.0,Experiment 1 (no preview)
36,control,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
36,control,hidden_an,0.5,22.0,hard,0.2857142857142857,3.0,Experiment 1 (no preview)
36,control,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
36,control,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
37,control,visible,0.5890404340586651,22.0,hard,0.6,0.0,Experiment 1 (no preview)
37,control,hidden,0.5793242521487494,22.0,hard,0.5,0.0,Experiment 1 (no preview)
37,control,hidden_an,0.598687660112452,22.0,hard,0.5555555555555556,1.0,Experiment 1 (no preview)
37,control,hidden_normative_subset,0.8429045311145472,22.0,hard,,,Experiment 1 (no preview)
37,control,hidden_an_subset,0.9873828393206613,22.0,hard,,,Experiment 1 (no preview)
38,control,visible,0.7539887164489482,21.0,easy,0.8,0.0,Experiment 1 (no preview)
38,control,hidden,0.549833997312478,21.0,easy,0.6,0.0,Experiment 1 (no preview)
38,control,hidden_an,0.5793242521487494,21.0,easy,0.5,0.0,Experiment 1 (no preview)
38,control,hidden_normative_subset,0.5099986668799654,21.0,easy,,,Experiment 1 (no preview)
38,control,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
39,control,visible,0.6364525402815663,21.0,easy,0.6,0.0,Experiment 1 (no preview)
39,control,hidden,0.7068222210935675,21.0,easy,0.7,0.0,Experiment 1 (no preview)
39,control,hidden_an,0.598687660112452,21.0,easy,0.6,0.0,Experiment 1 (no preview)
39,control,hidden_normative_subset,0.7957596977159082,21.0,easy,,,Experiment 1 (no preview)
39,control,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
40,explanation,visible,0.7068222210935675,22.0,hard,0.5,0.0,Experiment 1 (no preview)
40,explanation,hidden,0.5,22.0,hard,0.2,0.0,Experiment 1 (no preview)
40,explanation,hidden_an,0.5399148845555657,22.0,hard,0.5,0.0,Experiment 1 (no preview)
40,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
40,explanation,hidden_an_subset,0.5399148845555657,22.0,hard,,,Experiment 1 (no preview)
41,control,visible,0.6637386974043527,21.0,easy,0.7,0.0,Experiment 1 (no preview)
41,control,hidden,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
41,control,hidden_an,0.5,21.0,easy,0.4,0.0,Experiment 1 (no preview)
41,control,hidden_normative_subset,0.5299640517645717,21.0,easy,,,Experiment 1 (no preview)
41,control,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
42,explanation,visible,0.7539887164489482,21.0,easy,0.7,0.0,Experiment 1 (no preview)
42,explanation,hidden,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
42,explanation,hidden_an,0.5,21.0,easy,0.3,0.0,Experiment 1 (no preview)
42,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
42,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
43,explanation,visible,0.7891817065222528,21.0,easy,0.7,0.0,Experiment 1 (no preview)
43,explanation,hidden,0.9873828393206613,21.0,easy,0.9,0.0,Experiment 1 (no preview)
43,explanation,hidden_an,0.9873828393206613,21.0,easy,0.7,0.0,Experiment 1 (no preview)
43,explanation,hidden_normative_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
43,explanation,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
44,explanation,visible,0.5,21.0,easy,0.4,0.0,Experiment 1 (no preview)
44,explanation,hidden,0.6082590307465144,21.0,easy,0.6,0.0,Experiment 1 (no preview)
44,explanation,hidden_an,0.598687660112452,21.0,easy,0.6,0.0,Experiment 1 (no preview)
44,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
44,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
45,explanation,visible,0.7150421057009898,21.0,easy,0.7,0.0,Experiment 1 (no preview)
45,explanation,hidden,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
45,explanation,hidden_an,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
45,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
45,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
46,explanation,visible,0.6082590307465144,21.0,easy,0.6,0.0,Experiment 1 (no preview)
46,explanation,hidden,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
46,explanation,hidden_an,0.5,21.0,easy,0.3,0.0,Experiment 1 (no preview)
46,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
46,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
47,explanation,visible,0.6271477663131956,21.0,easy,0.6,0.0,Experiment 1 (no preview)
47,explanation,hidden,0.617747874769249,21.0,easy,0.6,0.0,Experiment 1 (no preview)
47,explanation,hidden_an,0.5793242521487494,21.0,easy,0.6,0.0,Experiment 1 (no preview)
47,explanation,hidden_normative_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
47,explanation,hidden_an_subset,0.5,21.0,easy,,,Experiment 1 (no preview)
48,explanation,visible,0.5399148845555657,21.0,easy,0.5,0.0,Experiment 1 (no preview)
48,explanation,hidden,0.738850006084249,21.0,easy,0.7,0.0,Experiment 1 (no preview)
48,explanation,hidden_an,0.907207046882843,21.0,easy,0.8,0.0,Experiment 1 (no preview)
48,explanation,hidden_normative_subset,0.8205384805926732,21.0,easy,,,Experiment 1 (no preview)
48,explanation,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
49,explanation,visible,0.5,21.0,easy,0.4,0.0,Experiment 1 (no preview)
49,explanation,hidden,0.9168273035060776,21.0,easy,0.9,0.0,Experiment 1 (no preview)
49,explanation,hidden_an,0.8429045311145472,21.0,easy,0.7,0.0,Experiment 1 (no preview)
49,explanation,hidden_normative_subset,0.8581489350995122,21.0,easy,,,Experiment 1 (no preview)
49,explanation,hidden_an_subset,0.7150421057009898,21.0,easy,,,Experiment 1 (no preview)
50,explanation,visible,0.6899744811276124,21.0,easy,0.7,0.0,Experiment 1 (no preview)
50,explanation,hidden,0.8084546514385326,21.0,easy,0.7,0.0,Experiment 1 (no preview)
50,explanation,hidden_an,0.8928319295134718,21.0,easy,0.7,0.0,Experiment 1 (no preview)
50,explanation,hidden_normative_subset,0.8145725807070178,21.0,easy,,,Experiment 1 (no preview)
50,explanation,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
51,explanation,visible,0.5,21.0,easy,0.5,0.0,Experiment 1 (no preview)
51,explanation,hidden,0.598687660112452,21.0,easy,0.6,0.0,Experiment 1 (no preview)
51,explanation,hidden_an,0.6456563062257954,21.0,easy,0.6,0.0,Experiment 1 (no preview)
51,explanation,hidden_normative_subset,0.8721384336809187,21.0,easy,,,Experiment 1 (no preview)
51,explanation,hidden_an_subset,0.9873828393206613,21.0,easy,,,Experiment 1 (no preview)
