participant_id,fsm_type,phase,feedback_condition,test_condition,trial_type,attempt,accuracy,phase_condition
39,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
39,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
40,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
40,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
40,easy,transfer,prediction,control,hidden,,0.5,transfer_control
40,easy,transfer,prediction,control,visible,,0.5,transfer_control
40,easy,transfer,prediction,explanation,hidden,,0.8,transfer_explanation
40,easy,transfer,prediction,explanation,visible,,0.6,transfer_explanation
41,easy,feedback,control,control,hidden,3.0,0.26666666666666666,feedback_control
41,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
41,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
41,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
41,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
41,easy,transfer,control,prediction,visible,,0.3,transfer_prediction
43,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
43,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
43,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
43,easy,transfer,control,explanation,visible,,0.7,transfer_explanation
43,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
43,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
44,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
44,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
44,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
44,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
44,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
44,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
45,easy,feedback,explanation,explanation,hidden,3.0,0.6666666666666666,feedback_explanation
45,easy,feedback,explanation,explanation,visible,3.0,0.3333333333333333,feedback_explanation
45,easy,transfer,explanation,control,hidden,,0.6,transfer_control
45,easy,transfer,explanation,control,visible,,0.5,transfer_control
45,easy,transfer,explanation,prediction,hidden,,0.7,transfer_prediction
45,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
46,easy,feedback,control,control,hidden,3.0,0.5333333333333333,feedback_control
46,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
46,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
46,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
46,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
46,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
47,easy,feedback,prediction,prediction,hidden,3.0,0.8666666666666667,feedback_prediction
47,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
47,easy,transfer,prediction,control,hidden,,0.6,transfer_control
47,easy,transfer,prediction,control,visible,,0.4,transfer_control
47,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
47,easy,transfer,prediction,explanation,visible,,0.4,transfer_explanation
48,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
48,easy,feedback,explanation,explanation,visible,1.0,0.8,feedback_explanation
48,easy,transfer,explanation,control,hidden,,0.5,transfer_control
48,easy,transfer,explanation,control,visible,,0.6,transfer_control
48,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
48,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
49,easy,feedback,prediction,prediction,hidden,1.0,0.8,feedback_prediction
49,easy,feedback,prediction,prediction,visible,1.0,0.9333333333333333,feedback_prediction
49,easy,transfer,prediction,control,hidden,,0.6,transfer_control
49,easy,transfer,prediction,control,visible,,1.0,transfer_control
49,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
49,easy,transfer,prediction,explanation,visible,,0.6,transfer_explanation
51,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
51,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
51,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
51,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
51,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
51,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
52,easy,feedback,explanation,explanation,hidden,1.0,0.8666666666666667,feedback_explanation
52,easy,feedback,explanation,explanation,visible,2.0,0.8,feedback_explanation
52,easy,transfer,explanation,control,hidden,,0.5,transfer_control
52,easy,transfer,explanation,control,visible,,0.5,transfer_control
52,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
52,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
53,easy,feedback,prediction,prediction,hidden,3.0,0.6,feedback_prediction
53,easy,feedback,prediction,prediction,visible,2.0,0.6666666666666666,feedback_prediction
53,easy,transfer,prediction,control,hidden,,0.5,transfer_control
53,easy,transfer,prediction,control,visible,,0.6,transfer_control
53,easy,transfer,prediction,explanation,hidden,,0.4,transfer_explanation
53,easy,transfer,prediction,explanation,visible,,0.3,transfer_explanation
54,easy,feedback,control,control,hidden,1.0,0.8,feedback_control
54,easy,feedback,control,control,visible,1.0,0.8,feedback_control
54,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
54,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
54,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
54,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
55,easy,feedback,control,control,hidden,3.0,0.6666666666666666,feedback_control
55,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
55,easy,transfer,control,explanation,hidden,,0.8,transfer_explanation
55,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
55,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
55,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
56,easy,feedback,control,control,hidden,1.0,0.8666666666666667,feedback_control
56,easy,feedback,control,control,visible,1.0,1.0,feedback_control
56,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
56,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
56,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
56,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
57,easy,feedback,prediction,prediction,hidden,3.0,0.5333333333333333,feedback_prediction
57,easy,feedback,prediction,prediction,visible,2.0,0.8666666666666667,feedback_prediction
57,easy,transfer,prediction,control,hidden,,0.6,transfer_control
57,easy,transfer,prediction,control,visible,,0.5,transfer_control
57,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
57,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
58,easy,feedback,explanation,explanation,hidden,1.0,0.6666666666666666,feedback_explanation
58,easy,feedback,explanation,explanation,visible,3.0,0.5333333333333333,feedback_explanation
58,easy,transfer,explanation,control,hidden,,0.8,transfer_control
58,easy,transfer,explanation,control,visible,,0.2,transfer_control
58,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
58,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
59,easy,feedback,explanation,explanation,hidden,1.0,1.0,feedback_explanation
59,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
59,easy,transfer,explanation,control,hidden,,0.6,transfer_control
59,easy,transfer,explanation,control,visible,,0.8,transfer_control
59,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
59,easy,transfer,explanation,prediction,visible,,0.9,transfer_prediction
60,easy,feedback,prediction,prediction,hidden,1.0,0.6666666666666666,feedback_prediction
60,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
60,easy,transfer,prediction,control,hidden,,0.7,transfer_control
60,easy,transfer,prediction,control,visible,,0.6,transfer_control
60,easy,transfer,prediction,explanation,hidden,,0.3,transfer_explanation
60,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
61,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
61,easy,feedback,prediction,prediction,visible,1.0,1.0,feedback_prediction
61,easy,transfer,prediction,control,hidden,,0.7,transfer_control
61,easy,transfer,prediction,control,visible,,0.7,transfer_control
61,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
61,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
62,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
62,easy,feedback,prediction,prediction,visible,1.0,0.9333333333333333,feedback_prediction
62,easy,transfer,prediction,control,hidden,,0.6,transfer_control
62,easy,transfer,prediction,control,visible,,0.7,transfer_control
62,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
62,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
63,easy,feedback,control,control,hidden,3.0,0.5333333333333333,feedback_control
63,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
63,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
63,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
63,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
63,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
64,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
64,easy,feedback,control,control,visible,1.0,1.0,feedback_control
64,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
64,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
64,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
64,easy,transfer,control,prediction,visible,,1.0,transfer_prediction
65,easy,feedback,control,control,hidden,2.0,0.6666666666666666,feedback_control
65,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
65,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
65,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
65,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
65,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
66,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
66,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
66,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
66,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
66,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
66,easy,transfer,control,prediction,visible,,1.0,transfer_prediction
67,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
67,easy,feedback,explanation,explanation,visible,3.0,0.4666666666666667,feedback_explanation
67,easy,transfer,explanation,control,hidden,,0.5,transfer_control
67,easy,transfer,explanation,control,visible,,0.3,transfer_control
67,easy,transfer,explanation,prediction,hidden,,0.3,transfer_prediction
67,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
68,easy,feedback,control,control,hidden,3.0,0.8,feedback_control
68,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
68,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
68,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
68,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
68,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
69,easy,feedback,explanation,explanation,hidden,1.0,0.8,feedback_explanation
69,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
69,easy,transfer,explanation,control,hidden,,0.5,transfer_control
69,easy,transfer,explanation,control,visible,,0.6,transfer_control
69,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
69,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
70,easy,feedback,control,control,hidden,2.0,0.7333333333333333,feedback_control
70,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
70,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
70,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
70,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
70,easy,transfer,control,prediction,visible,,0.6,transfer_prediction
71,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
71,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
71,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
71,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
71,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
71,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
